,NorS,wed_id,wed_num,sub_num
0,S,20,0,3
1,N,23,1,3
2,N,6,2,3
3,S,17,3,3
4,S,38,4,3
5,N,22,5,3
6,N,34,6,3
7,S,2,7,3
8,S,29,8,3
9,N,1,9,3
10,N,19,10,3
11,S,28,11,3
12,S,23,0,4
13,N,29,1,4
14,N,6,2,4
15,S,28,3,4
16,S,19,4,4
17,N,1,5,4
18,N,34,6,4
19,S,20,7,4
20,S,17,8,4
21,N,22,9,4
22,N,38,10,4
23,S,2,11,4
24,S,23,0,5
25,N,2,1,5
26,N,28,2,5
27,S,29,3,5
28,S,19,4,5
29,N,22,5,5
30,N,34,6,5
31,S,1,7,5
32,S,38,8,5
33,N,6,9,5
34,N,20,10,5
35,S,17,11,5
36,S,6,0,6
37,N,38,1,6
38,N,20,2,6
39,S,1,3,6
40,S,22,4,6
41,N,19,5,6
42,N,2,6,6
43,S,29,7,6
44,S,17,8,6
45,N,28,9,6
46,N,23,10,6
47,S,34,11,6
48,S,23,0,7
49,N,1,1,7
50,N,22,2,7
51,S,19,3,7
52,S,20,4,7
53,N,2,5,7
54,N,28,6,7
55,S,38,7,7
56,S,29,8,7
57,N,17,9,7
58,N,34,10,7
59,S,6,11,7
60,S,1,0,8
61,N,28,1,8
62,N,6,2,8
63,S,34,3,8
64,S,19,4,8
65,N,2,5,8
66,N,23,6,8
67,S,17,7,8
68,S,22,8,8
69,N,20,9,8
70,N,38,10,8
71,S,29,11,8
72,S,6,0,9
73,N,29,1,9
74,N,1,2,9
75,S,22,3,9
76,S,34,4,9
77,N,19,5,9
78,N,17,6,9
79,S,23,7,9
80,S,20,8,9
81,N,28,9,9
82,N,2,10,9
83,S,38,11,9
84,S,17,0,10
85,N,2,1,10
86,N,19,2,10
87,S,34,3,10
88,S,28,4,10
89,N,6,5,10
90,N,20,6,10
91,S,1,7,10
92,S,29,8,10
93,N,23,9,10
94,N,22,10,10
95,S,38,11,10
96,S,34,0,12
97,N,17,1,12
98,N,6,2,12
99,S,19,3,12
100,S,38,4,12
101,N,2,5,12
102,N,23,6,12
103,S,1,7,12
104,S,29,8,12
105,N,28,9,12
106,N,20,10,12
107,S,22,11,12
108,S,23,0,13
109,N,38,1,13
110,N,34,2,13
111,S,19,3,13
112,S,1,4,13
113,N,29,5,13
114,N,2,6,13
115,S,28,7,13
116,S,20,8,13
117,N,6,9,13
118,N,17,10,13
119,S,22,11,13
120,S,22,0,14
121,N,28,1,14
122,N,19,2,14
123,S,20,3,14
124,S,1,4,14
125,N,29,5,14
126,N,38,6,14
127,S,23,7,14
128,S,2,8,14
129,N,34,9,14
130,N,17,10,14
131,S,6,11,14
132,S,34,0,15
133,N,1,1,15
134,N,2,2,15
135,S,19,3,15
136,S,17,4,15
137,N,6,5,15
138,N,28,6,15
139,S,38,7,15
140,S,22,8,15
141,N,20,9,15
142,N,29,10,15
143,S,23,11,15
144,S,22,0,17
145,N,19,1,17
146,N,29,2,17
147,S,20,3,17
148,S,6,4,17
149,N,34,5,17
150,N,2,6,17
151,S,1,7,17
152,S,38,8,17
153,N,17,9,17
154,N,23,10,17
155,S,28,11,17
